sex,eda_sdem,anios_esc,ur_coei,n_hog,n_pro_viv,h_mud,empleo
2,67,9,1,1,67,0,1
1,43,6,1,1,45,0,1
2,34,6,1,1,1,0,1
2,18,9,2,1,122,1,0
2,45,6,1,1,55,0,1
2,0,0,1,1,1,0,0
2,25,16,1,1,141,0,1
1,60,9,1,1,82,0,1
2,63,6,2,1,15,0,1
1,18,11,1,1,102,0,1
1,24,9,2,1,1,0,0
1,33,12,1,1,104,0,0
1,43,7,1,1,134,0,0
1,58,9,1,1,136,0,1
1,14,7,1,1,56,0,1
1,51,5,2,1,32,0,1
1,21,9,1,1,7,0,1
2,7,0,1,2,40,0,1
2,24,12,2,1,16,0,1
2,32,12,2,1,40,0,1
1,47,2,1,1,108,0,1
2,5,0,2,1,108,1,1
2,1,0,1,1,95,0,1
2,63,2,1,1,69,0,0
1,12,5,2,1,54,0,1
2,60,0,2,1,61,0,1
2,47,9,2,1,64,0,0
2,23,14,1,1,110,1,1
1,46,2,2,1,97,0,0
2,54,15,1,1,37,0,1
2,40,9,1,1,66,0,1
1,62,9,2,1,168,0,0
1,57,17,1,1,115,0,1
1,49,19,1,1,56,0,1
2,40,6,2,1,62,0,0
2,29,12,2,1,7,0,0
1,22,12,2,1,40,0,0
2,32,9,1,1,65,0,1
2,50,17,1,1,89,0,0
1,47,9,2,1,67,0,1
1,44,12,1,1,77,0,0
1,71,9,1,1,117,0,1
1,42,9,2,1,32,0,1
1,58,5,1,1,121,0,0
1,20,12,2,1,80,0,1
2,14,7,2,1,94,0,1
2,0,0,2,1,89,0,1
1,38,16,1,1,95,0,1
1,62,6,1,1,47,0,0
2,30,12,2,1,39,0,1
2,39,17,1,1,117,0,1
2,26,11,2,1,1,1,0
2,60,8,1,1,167,0,1
2,70,3,1,1,5,0,1
2,19,12,1,1,53,0,1
2,50,6,2,1,12,0,0
2,25,9,1,1,41,0,1
1,55,17,1,1,70,0,1
2,28,17,2,1,54,0,1
2,15,8,1,1,121,0,1
1,11,0,2,1,164,0,1
2,12,5,1,1,147,0,0
1,16,10,1,1,85,0,1
2,48,9,1,1,1,0,1
2,3,0,2,1,12,0,1
2,47,9,1,1,54,0,1
2,5,0,1,1,72,0,1
2,33,17,1,1,35,0,0
2,18,9,1,1,102,0,0
2,25,12,1,1,24,0,1
2,50,17,2,1,98,0,0
2,88,2,1,1,8,0,0
2,54,6,1,1,121,0,1
2,11,0,2,1,31,0,0
2,13,7,2,1,122,0,0
2,18,11,2,2,36,0,0
1,22,16,1,1,174,0,1
2,38,17,1,1,52,0,0
1,42,12,2,1,97,0,0
2,28,17,1,1,57,0,1
1,67,2,2,1,103,0,1
1,33,9,1,1,1,0,1
1,64,6,1,1,86,0,1
2,3,0,1,1,86,0,0
1,56,17,2,1,60,0,0
1,18,12,1,1,155,0,0
1,17,9,1,1,91,0,1
1,24,15,1,1,114,0,0
2,18,12,2,1,21,0,1
2,70,12,1,1,14,0,0
2,29,17,1,1,153,0,0
2,46,6,2,1,120,0,0
1,23,12,1,1,74,1,1
2,1,0,1,1,86,0,1
2,22,8,1,1,51,0,1
2,59,16,1,1,158,0,0
1,21,13,1,1,1,0,1
1,25,17,1,1,107,0,1
1,1,0,2,1,39,0,0
2,23,9,1,1,98,0,0
1,63,6,1,1,58,0,0
1,3,0,1,1,137,0,1
2,16,9,1,1,126,0,1
2,74,17,2,1,11,0,0
